Size, Time 
65536 ,0.068608
131072 ,0.073728
262144 ,0.24576
524288 ,0.244736
1048576 ,0.256
2 ,0.075776
4 ,0.065568
8 ,0.067584
16 ,0.070656
32 ,0.066592
64 ,0.067584
128 ,0.06656
256 ,0.06144
512 ,0.067584
1024 ,0.068608
2048 ,0.064448
4096 ,0.070656
8192 ,0.0696
16384 ,0.062464
32768 ,0.098304
65536 ,0.075776
131072 ,0.07168
262144 ,0.248832
524288 ,0.247808
1048576 ,0.256
2 ,0.06656
4 ,0.069632
8 ,0.069632
16 ,0.070656
32 ,0.070656
64 ,0.069632
128 ,0.068608
256 ,0.077824
512 ,0.067584
1024 ,0.06656
2048 ,0.068608
4096 ,0.07168
8192 ,0.070656
16384 ,0.067584
32768 ,0.09728
65536 ,0.068608
131072 ,0.06656
262144 ,0.248832
524288 ,0.277504
1048576 ,0.272384
2 ,0.063488
4 ,0.068608
8 ,0.069632
16 ,0.070624
32 ,0.063488
64 ,0.069632
128 ,0.068608
256 ,0.067584
512 ,0.068608
1024 ,0.067584
2048 ,0.069696
4096 ,0.064576
8192 ,0.067584
16384 ,0.069632
32768 ,0.069632
65536 ,0.06656
131072 ,0.070656
262144 ,0.251904
524288 ,0.251904
1048576 ,0.260096
2 ,0.067584
4 ,0.070656
8 ,0.069632
16 ,0.068608
32 ,0.069632
64 ,0.06656
128 ,0.062464
256 ,0.06656
512 ,0.067584
1024 ,0.067584
